Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
ON123667,dengue virus type 1,Orthoflavivirus denguei,I,THSTI-TRC-DENV1-14,10735,complete,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.",2018,2022-04-05,ssRNA(+)
ON123668,dengue virus type 4,Orthoflavivirus denguei,I,THSTI-TRC-DENV4-04,10649,complete,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.",2018,2022-04-05,ssRNA(+)
ON123669,dengue virus type 3,Orthoflavivirus denguei,III,THSTI-TRC-DENV3-07,10707,complete,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.",2018,2022-04-05,ssRNA(+)
ON123670,dengue virus type 3,Orthoflavivirus denguei,III,THSTI-TRC-DENV3-10,10707,complete,India,Homo sapiens,blood,"Maurya,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Kumar,S., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S., Shashi,P., Pandey,R., Medigeshi,G.R.",2018,2022-04-05,ssRNA(+)
ON109597,dengue virus type 1,Orthoflavivirus denguei,1,ICIDR92,10735,complete,India,Homo sapiens,blood,"Medigeshi,G., Pandey,R., Agrawal,T., Saraswat,S., Ananthraj,A., Chandele,A., Maurya,R., Kanakan,A., Chattopadhyay,P., Swaminathan,A., Saifi,S.",2021,2022-04-04,ssRNA(+)
OM681318,dengue virus type 2,Orthoflavivirus denguei,2,MCL-21-H-11408,10722,complete,India,Homo sapiens,blood,"Yadav,P.D.",2021-11-16,2022-02-20,ssRNA(+)
OM639982,dengue virus type 2,Orthoflavivirus denguei,2,MCL-21-H-11025,10723,complete,India,Homo sapiens,blood,"Yadav,P.D.",2021-09-14,2022-02-15,ssRNA(+)
LC652827,dengue virus type 1,Orthoflavivirus denguei,1,Th15-DV1-TM002,10735,complete,Thailand,Homo sapiens,blood,"Poltep,K., Nakayama,E.E., Sasaki,T., Kurosu,T., Takashima,Y., Phadungsombat,J., Kosoltanapiwat,N., Hanboonkunupakarn,B., Suwanpakdee,S., Imad,H.A., Srimark,N., Kitamura,C., Yamanaka,A., Okubo,A., Shioda,T., Leaungwutiwong,P.",2015-11,2022-01-26,ssRNA(+)
LC652828,dengue virus type 1,Orthoflavivirus denguei,1,Th15-DV1-TM014,10735,complete,Thailand,Homo sapiens,blood,"Poltep,K., Nakayama,E.E., Sasaki,T., Kurosu,T., Takashima,Y., Phadungsombat,J., Kosoltanapiwat,N., Hanboonkunupakarn,B., Suwanpakdee,S., Imad,H.A., Srimark,N., Kitamura,C., Yamanaka,A., Okubo,A., Shioda,T., Leaungwutiwong,P.",2015-11,2022-01-26,ssRNA(+)
OK605755,dengue virus type I,Orthoflavivirus denguei,1,DENV1-3_C_0268-96,10735,complete,Thailand,Homo sapiens,blood,"Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W., Ploss,A.",1996,2022-01-04,ssRNA(+)
OK605759,Dengue virus type 2,Orthoflavivirus denguei,2,DENV2-3_K_0006-94,10724,complete,Thailand,Homo sapiens,blood,"Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W., Ploss,A.",1994,2022-01-04,ssRNA(+)
OK605760,Dengue virus type 2,Orthoflavivirus denguei,2,DENV2-4_PH_H023-88,10722,complete,Philippines,Homo sapiens,blood,"Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W., Ploss,A.",1988,2022-01-04,ssRNA(+)
OK605763,Dengue virus type 3,Orthoflavivirus denguei,3,DENV3-2_JKT_85-934,10707,complete,Indonesia,Homo sapiens,blood,"Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W., Ploss,A.",1985,2022-01-04,ssRNA(+)
OK605764,Dengue virus type 3,Orthoflavivirus denguei,3,DENV3-3_K_0077-94,10707,complete,Thailand,Homo sapiens,blood,"Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W., Ploss,A.",1994,2022-01-04,ssRNA(+)
OK605767,Dengue virus type 4,Orthoflavivirus denguei,4,DENV4-1_1229,10648,complete,Indonesia,Homo sapiens,blood,"Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W., Ploss,A.",1976,2022-01-04,ssRNA(+)
OK605771,Dengue virus type 4,Orthoflavivirus denguei,4,DENV4-5_K_0036/94,10650,complete,Thailand,Homo sapiens,blood,"Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W., Ploss,A.",1994,2022-01-04,ssRNA(+)
OK562728,dengue virus type I,Orthoflavivirus denguei,1,guangzhou2019-3,10739,complete,China,Homo sapiens,blood,"Chen,Y., ren,R., Chen,R., Li,C., Liu,J.",2019-09-26,2021-10-25,ssRNA(+)
MW512341,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/DS3189Y04,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2004,2021-07-09,ssRNA(+)
MW512362,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/14865Y11,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2011,2021-07-09,ssRNA(+)
MW512363,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/93047Y11,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2011,2021-07-09,ssRNA(+)
MW512364,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/27914Y11,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2011,2021-07-09,ssRNA(+)
MW512365,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/33455Y11,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2011,2021-07-09,ssRNA(+)
MW512366,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/24200Y11,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2011,2021-07-09,ssRNA(+)
MW512367,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/18574Y11,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2011,2021-07-09,ssRNA(+)
MW512368,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/23221Y11,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2011,2021-07-09,ssRNA(+)
MW512369,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/14864Y11,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2011,2021-07-09,ssRNA(+)
MW512370,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/52209Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512371,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/33647Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512372,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/37051Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512373,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/15086Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512374,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/24747Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512375,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/38228Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512376,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/28912Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512377,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/25698Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512378,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/20129Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512379,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/28358Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512380,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/25959Y12,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2012,2021-07-09,ssRNA(+)
MW512381,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/26494Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512382,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/12271Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512383,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/1389Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512384,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/18169Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512385,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/17716Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512386,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/27869Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512388,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/50583Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512389,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/18944Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512390,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/52338Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512391,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/31771Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512392,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/26676Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512393,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/36915Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512395,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/49117Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512396,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/27383Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512398,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/25506Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512399,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/42954Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512400,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/34994Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512401,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/44173Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512402,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/17540Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512403,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/15356Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512404,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/19091Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512405,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/6547Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512406,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/19089Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512407,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/27898Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512408,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/19439Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512409,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/19483Y13,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2013,2021-07-09,ssRNA(+)
MW512410,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/53583Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512411,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/38070Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512412,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/17554Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512413,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/33428Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512414,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/47654Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512415,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/3278Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512417,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/47312Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512418,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/47001Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512420,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/39061Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512421,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/38972Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512422,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/19386Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512423,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/26722Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512425,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/23779Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512426,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/44236Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512427,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/1954Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512428,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/2190Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512429,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/2803Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512430,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/16081Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512431,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/49248Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512432,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/31789Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512433,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/5916Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512434,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/47803Y14,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2014,2021-07-09,ssRNA(+)
MW512435,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/23941Y15,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2015,2021-07-09,ssRNA(+)
MW512436,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/6218Y15,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2015,2021-07-09,ssRNA(+)
MW512437,Dengue virus type 2,Orthoflavivirus denguei,2,SG(EHI)D2/1488Y15,10723,complete,Singapore,Homo sapiens,blood,"Yenamandra,S.P., Koo,C., Chiang,S., Lim,H.S.J., Yeo,Z.Y., Ng,L.C., Hapuarachchi,H.C.",2015,2021-07-09,ssRNA(+)
